epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8609,1.2846,4.84559,1.40647,0.50947,0.63077,0.5017,0.41568,0.65118,3.72031,0.97091,0.0001375,0.0001375,0.0001375
2,33.3472,0.703,2.10411,0.99173,0.38969,0.6764,0.65216,0.57401,0.54584,2.46972,0.894,0.000287358,0.000287358,0.000287358
3,38.5438,0.62086,1.612,0.93711,0.6872,0.628,0.68935,0.61793,0.48303,2.42656,0.91772,0.000437067,0.000437067,0.000437067
4,43.3581,0.59761,1.24458,0.96722,0.72622,0.74297,0.83255,0.74552,0.54469,1.19995,0.95683,0.000586628,0.000586628,0.000586628
5,48.8672,0.62819,1.12982,0.97517,0.57277,0.69149,0.72869,0.61143,0.60134,1.54317,0.98707,0.00073604,0.00073604,0.00073604
6,54.0109,0.6101,0.90062,0.9714,0.61969,0.79475,0.71736,0.61452,0.62236,1.66146,0.98881,0.000885303,0.000885303,0.000885303
7,58.9772,0.61839,0.93245,0.95266,0.46643,0.58557,0.55806,0.49704,0.57617,2.35245,0.9792,0.00103442,0.00103442,0.00103442
8,64.7204,0.65471,0.87203,0.99906,0.72822,0.7471,0.85659,0.73635,0.58527,1.15886,1.01307,0.00118339,0.00118339,0.00118339
9,69.3418,0.61209,0.72746,0.96961,0.70787,0.69314,0.80148,0.71893,0.55565,1.25105,0.99864,0.00124505,0.00124505,0.00124505
10,74.3415,0.6094,0.77028,0.95854,0.83281,0.66535,0.83755,0.75502,0.53755,0.97763,0.95922,0.00124443,0.00124443,0.00124443
11,79.8712,0.59742,0.7151,0.97092,0.63506,0.49382,0.67601,0.59168,0.67131,1.79687,1.07142,0.00124381,0.00124381,0.00124381
12,84.5978,0.6084,0.68192,0.99728,0.46387,0.50657,0.51254,0.42861,1.13236,2.8988,1.42484,0.00124319,0.00124319,0.00124319
13,89.8045,0.60586,0.73496,0.98994,0.58326,0.59863,0.64354,0.57582,0.91355,1.52035,1.23252,0.00124257,0.00124257,0.00124257
14,94.8051,0.57292,0.6551,0.98373,0.9481,0.59455,0.74222,0.64598,0.70978,1.1387,1.10317,0.00124196,0.00124196,0.00124196
15,99.9283,0.58098,0.69201,0.97119,0.62923,0.72454,0.74373,0.66507,0.53407,1.46757,0.95734,0.00124134,0.00124134,0.00124134
16,105.924,0.54664,0.6383,0.95789,0.88691,0.76364,0.85559,0.75045,0.50462,1.02913,0.91471,0.00124072,0.00124072,0.00124072
