epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1897,1.29374,3.7739,1.27398,0.00567,0.88542,0.25303,0.14753,0.97987,3.30579,1.01281,0.0001125,0.0001125,0.0001125
2,30.5845,0.82479,3.16083,0.97257,0.00726,1,0.3434,0.30209,0.48456,3.13667,0.83987,0.000237265,0.000237265,0.000237265
3,34.7437,0.7193,2.56189,0.94998,0.0077,1,0.41954,0.35963,0.51995,3.03569,0.85299,0.000361782,0.000361782,0.000361782
4,39.7692,0.74087,2.21321,0.98392,0.00634,1,0.51101,0.4568,0.47046,2.9623,0.8414,0.000486052,0.000486052,0.000486052
5,43.2001,0.65214,1.86668,0.92627,0.00586,1,0.60388,0.51392,0.58529,2.8431,0.89385,0.000610075,0.000610075,0.000610075
6,46.528,0.63722,1.69652,0.91874,0.00634,1,0.65155,0.54235,0.64604,2.59459,0.90058,0.000733849,0.000733849,0.000733849
7,51.1989,0.68047,1.66608,0.92682,0.91653,0.125,0.71945,0.62488,0.57014,2.66779,0.86384,0.000857377,0.000857377,0.000857377
8,55.4071,0.67079,1.51747,0.95353,0.85021,0.47837,0.76092,0.66188,0.59718,2.36883,0.89488,0.000980657,0.000980657,0.000980657
9,59.0266,0.65993,1.42486,0.93415,0.72652,0.5756,0.71752,0.61936,0.58398,2.13738,0.90152,0.00110369,0.00110369,0.00110369
10,62.1167,0.63992,1.41547,0.91504,0.53931,0.75049,0.61352,0.51429,0.59529,1.94768,0.92184,0.00122647,0.00122647,0.00122647
11,66.6755,0.64915,1.35197,0.90511,0.54108,0.59548,0.69091,0.56151,0.73596,1.73693,0.93867,0.00123763,0.00123763,0.00123763
12,70.8134,0.63444,1.23737,0.90219,0.61433,0.7684,0.77405,0.65697,0.57476,1.78283,0.90113,0.00123639,0.00123639,0.00123639
13,74.0185,0.66699,1.32804,0.92278,0.72155,0.68889,0.72969,0.63743,0.60473,1.69195,0.89198,0.00123515,0.00123515,0.00123515
14,77.6323,0.62002,1.15637,0.90093,0.76981,0.74722,0.73985,0.66277,0.57779,1.57854,0.89459,0.00123391,0.00123391,0.00123391
15,82.3062,0.57248,1.1264,0.88166,0.79686,0.60132,0.71394,0.61052,0.58964,1.59966,0.91575,0.00123268,0.00123268,0.00123268
16,86.0259,0.60786,1.11586,0.90823,0.78425,0.60833,0.74833,0.67374,0.53658,1.52511,0.88304,0.00123144,0.00123144,0.00123144
17,89.3606,0.61399,1.15968,0.89974,0.78471,0.66633,0.80209,0.72259,0.52067,1.43929,0.88074,0.0012302,0.0012302,0.0012302
18,93.1275,0.56762,1.08253,0.87937,0.68692,0.72007,0.77595,0.68057,0.53306,1.33099,0.918,0.00122896,0.00122896,0.00122896
19,97.66,0.5863,1.03718,0.89301,0.67985,0.76486,0.7886,0.70077,0.5434,1.34316,0.90868,0.00122773,0.00122773,0.00122773
20,101.685,0.55026,1.0368,0.88496,0.61305,0.8342,0.81576,0.72556,0.55284,1.3831,0.87818,0.00122649,0.00122649,0.00122649
