epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1137,1.44049,3.55228,1.33106,0.00337,0.83333,0.15847,0.10538,1.01409,3.36944,1.25797,6.25e-05,6.25e-05,6.25e-05
2,29.2932,1.02866,3.3863,1.06652,0.00369,1,0.56052,0.35607,1.15218,3.27663,1.22982,0.000137432,0.000137432,0.000137432
3,31.4452,0.83016,2.98846,1.03166,0.00348,1,0.61905,0.52804,0.47855,3.15173,0.90267,0.00021229,0.00021229,0.00021229
4,33.3488,0.80837,2.86001,0.99395,0.00339,1,0.96167,0.7494,0.55098,3.07679,0.97279,0.000287073,0.000287073,0.000287073
5,35.5498,0.77428,2.3178,0.96699,0.00332,1,0.97833,0.80246,0.52792,2.93599,0.90233,0.000361782,0.000361782,0.000361782
6,38.866,0.83168,2.14286,1.00899,0.0034,1,0.82917,0.69971,0.57929,2.89679,0.93224,0.000436417,0.000436417,0.000436417
7,41.0214,0.65915,2.00358,0.92656,0.00369,1,0.96167,0.79439,0.60645,2.98384,0.97376,0.000510978,0.000510978,0.000510978
8,42.9489,0.7397,1.85884,0.98011,0.00367,1,0.88786,0.76333,0.61268,2.8799,0.97814,0.000585464,0.000585464,0.000585464
9,44.6833,0.7502,1.89233,0.99769,0.97012,0.48217,0.93944,0.78014,0.69229,2.53089,1.03646,0.000659877,0.000659877,0.000659877
10,46.6942,0.58509,1.63094,0.8928,1,0.52866,0.97833,0.80144,0.68483,2.21657,1.04545,0.000734214,0.000734214,0.000734214
11,48.5236,0.61961,1.57084,0.93007,0.91087,0.61573,0.96167,0.81397,0.65794,2.06171,1.03806,0.000808478,0.000808478,0.000808478
12,51.0893,0.63813,1.47847,0.91339,0.90234,0.33333,0.92278,0.7281,0.70196,2.36226,1.01661,0.000882668,0.000882668,0.000882668
13,53.9775,0.67704,1.50551,0.92962,0.85596,0.52408,0.945,0.75012,0.76275,2.22986,1.07791,0.000956783,0.000956783,0.000956783
14,55.9581,0.61379,1.43503,0.91914,0.8375,0.5696,0.64123,0.54179,0.7665,1.92499,1.05915,0.00103082,0.00103082,0.00103082
15,57.8625,0.64262,1.49599,0.95661,0.91167,0.66033,0.67146,0.55684,0.77012,1.82455,1.24475,0.00110479,0.00110479,0.00110479
16,59.6385,0.69585,1.55851,0.9582,0.86715,0.55869,0.76283,0.60542,0.87202,2.11827,1.34496,0.00117868,0.00117868,0.00117868
17,61.4383,0.66954,1.45066,0.90633,0.92898,0.63996,0.72389,0.65388,0.58524,1.96195,0.98377,0.0012401,0.0012401,0.0012401
18,63.2891,0.8581,1.68687,1.02224,0.89778,0.64634,0.96167,0.79649,0.6443,1.53426,0.9819,0.00123948,0.00123948,0.00123948
19,65.5941,0.67642,1.39777,0.93507,0.92395,0.53333,0.68052,0.60316,0.61535,1.67829,0.9559,0.00123886,0.00123886,0.00123886
20,69.0035,0.74326,1.29361,0.98689,0.90476,0.66667,0.70181,0.58757,0.69948,1.51737,0.99014,0.00123824,0.00123824,0.00123824
21,72.3092,0.63226,1.28655,0.89612,0.9309,0.66667,0.78472,0.64644,0.62891,1.39211,0.95654,0.00123763,0.00123763,0.00123763
22,74.1965,0.6551,1.21727,0.9014,0.80014,1,0.995,0.80724,0.61146,1.12382,0.96515,0.00123701,0.00123701,0.00123701
23,75.8916,0.63202,1.20391,0.94735,0.82084,1,0.995,0.80933,0.72861,1.03156,1.00286,0.00123639,0.00123639,0.00123639
24,77.7395,0.57685,1.09718,0.92867,0.91902,0.66667,0.67146,0.55391,0.78816,1.62223,1.02349,0.00123577,0.00123577,0.00123577
25,79.4428,0.5813,1.16386,0.88338,0.79631,0.66667,0.64487,0.53923,0.69983,1.80556,0.97171,0.00123515,0.00123515,0.00123515
26,81.2822,0.62203,1.29808,0.94797,0.70342,0.91667,0.75833,0.66122,0.61679,1.28708,0.93522,0.00123453,0.00123453,0.00123453
27,83.8516,0.56198,1.20491,0.91887,0.94096,0.99638,0.995,0.82192,0.67318,0.9673,0.95799,0.00123391,0.00123391,0.00123391
28,86.6826,0.58559,1.22714,0.93305,0.84341,0.9789,0.995,0.84958,0.61744,0.93989,0.95221,0.00123329,0.00123329,0.00123329
29,88.6182,0.66321,1.25027,0.92963,0.94851,0.85084,0.995,0.83527,0.70762,1.01829,0.98678,0.00123268,0.00123268,0.00123268
30,90.4177,0.64464,1.12275,0.92621,0.92378,1,0.995,0.84603,0.65589,0.92993,0.9813,0.00123206,0.00123206,0.00123206
31,92.0847,0.57282,1.01968,0.90313,0.96935,1,0.995,0.85672,0.62915,0.871,0.94815,0.00123144,0.00123144,0.00123144
32,94.1467,0.59912,1.12864,0.91262,0.97563,0.66667,0.995,0.83446,0.72713,1.09561,0.99498,0.00123082,0.00123082,0.00123082
33,95.9524,0.5776,1.1304,0.91408,0.98507,0.66667,0.995,0.83907,0.69399,1.12055,0.98098,0.0012302,0.0012302,0.0012302
34,98.6525,0.6119,1.03003,0.89827,0.83121,1,0.995,0.82039,0.68227,1.06997,0.98557,0.00122958,0.00122958,0.00122958
35,101.221,0.58552,1.02696,0.91491,0.85845,1,0.995,0.837,0.73725,0.96948,0.9757,0.00122896,0.00122896,0.00122896
36,103.13,0.54401,1.02549,0.90402,0.74264,1,0.995,0.8979,0.6029,0.94314,0.9499,0.00122834,0.00122834,0.00122834
37,104.994,0.607,1.07514,0.89783,0.73666,1,0.96167,0.86322,0.60277,0.94204,0.93679,0.00122773,0.00122773,0.00122773
38,106.94,0.57086,0.92254,0.88707,0.92434,0.66667,0.945,0.83087,0.60917,1.19762,0.93039,0.00122711,0.00122711,0.00122711
39,108.762,0.61778,1.04999,0.95157,0.92303,0.66667,0.945,0.85011,0.53809,1.17253,0.91065,0.00122649,0.00122649,0.00122649
40,110.742,0.55968,0.9075,0.89423,0.91907,0.66667,0.96167,0.83952,0.58879,1.08257,0.92548,0.00122587,0.00122587,0.00122587
41,113.44,0.54696,1.0289,0.91979,0.85783,0.66667,0.96167,0.86381,0.56107,1.07495,0.90047,0.00122525,0.00122525,0.00122525
42,116.161,0.57287,1.27861,0.88983,0.86552,0.66667,0.96167,0.85417,0.5458,1.19929,0.89494,0.00122463,0.00122463,0.00122463
43,117.944,0.55269,0.92065,0.88583,0.92262,0.66667,0.96167,0.83972,0.59603,1.09638,0.90889,0.00122401,0.00122401,0.00122401
44,119.84,0.60495,1.2128,0.94332,0.98368,0.66667,0.995,0.87813,0.59516,0.94218,0.91724,0.00122339,0.00122339,0.00122339
45,121.608,0.54925,0.89408,0.89384,0.9852,0.66667,0.995,0.89379,0.57552,0.86409,0.93111,0.00122277,0.00122277,0.00122277
46,123.542,0.49373,0.89784,0.89543,0.96371,1,0.995,0.86136,0.64487,0.70849,0.97388,0.00122216,0.00122216,0.00122216
47,125.372,0.50347,0.81234,0.87321,0.94493,1,0.995,0.83474,0.58147,0.70393,0.94497,0.00122154,0.00122154,0.00122154
